obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
622,"
								杰卡斯酿酒师臻选系列梅洛干红葡萄酒",Jacob s Creek Winemaker s Selection Merlot,"
												80%
										",6,近期售出数 246,89,"
											红葡萄酒 干红","
											100%梅洛(Merlot)","
											2011","
											澳大利亚(Australia) 南澳(South Australia)",  ,"
											12.9%","
											750ml","
											橡木","
											深邃红色","
											中高","
											饱满","
											30分钟","
											红肉，家禽，野味，奶酪","
											无",5171905
623,"
								【中级庄】修道士城堡干红葡萄酒2013 -6支装",  ,"
												100%
										",1,近期售出数 88,588,"
																红葡萄酒 干红","
																赤霞珠，梅乐，品丽珠",  ,"
																法国(France) 波尔多(Bordeaux)",  ,"
																12.5%","
																750ML","
																红色水果和矿物质的香味",  ,  ,  ,  ,  ,  ,6233454
624,"
								奥纳干红葡萄酒整箱6支装",Maitre Eugene,"
												100%
										",0,近期售出数 141,169,"
																红葡萄酒 干红","
																40%美乐(Merlot),30%歌海娜(Grenache/Granacha)，30%佳丽酿(Carignan)","
																0000","
																法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
																VDCE","
																12.0%","
																750ml","
																集合了小的红色水果的香气，并且有着香料的柔和气息。","
																闪亮美丽的红宝石","
																中高","
																平衡","
																15分钟",  ,  ,6214811
625,"
								*梅多克男爵小木桐（菲利普罗思柴尔德男爵精选梅多克干红葡萄酒）*",Baron Philippe de Rothschild Selection Medoc,"
												90%
										",56,近期售出数 6449,698,"
											红葡萄酒 干红","
											61%赤霞珠(Cabernet Sauvignon),39%美乐(Merlot)","
											2012","
											法国(France) 波尔多(Bordeaux)","
											AOC","
											13.0%","
											750ml","
											有着红色水果和香料的芬芳，随后发展为成熟黑色水果的香气，如黑莓和黑加仑。","
											浓郁的紫色带有一抹深红色。","
											中高","
											平衡","
											30分钟","
											考肋排、蘑菇炖牛肉、蘑菇酱佐酒顿兔肉","
											在酒罐中熟成9个月以上，40%用橡木辅料。",5200130
626,"
								【中级庄】乐培酒庄干红葡萄酒",  ,"
												100%
										",0,近期售出数 43,128,"
											红葡萄酒 干红","
											80%梅乐，10%赤霞珠，10%品丽珠",  ,"
											法国(France) 波尔多(Bordeaux)",  ,"
											13.0%vol","
											750ML","
											蜜饯，水果，干草，香草","
											深宝石红色","
											中","
											平衡","
											30分钟","
											红肉类芝士等","
											12个月，25%新桶",6237320
627,"
								福特拉城堡干红750ML",  ,"
												100%
										",0,近期售出数 266,300,"
											红葡萄酒 干红","
											赤霞珠梅洛",  ,"
											法国(France) 波尔多(Bordeaux)",  ,"
											13%","
											750","
											新鲜红果","
											宝石红","
											中","
											圆润",  ,  ,  ,6233368
628,"
								蒙佩奇拉米干红葡萄酒",Entr Amis Rouge-Mont Perat,"
												100%
										",30,近期售出数 3180,228,"
											红葡萄酒 干红","
											90%梅洛、5%赤霞珠、5%品丽珠","
											2012","
											法国(France) 波尔多(Bordeaux)","
											波尔多AOC","
											13%","
											750ml","
											水果、木质、土司、香料","
											宝石红","
											中高","
											饱满","
											30分钟","
											红肉类、熟食、、家禽、奶酪",  ,6203497
629,"
								图尔巴酒庄品乐塔吉红葡萄酒",Tulbagh Winery Pinotage,"
												80%
										",14,近期售出数 303,88,"
											红葡萄酒 干红","
											皮诺塔吉(Pinotage)","
											2009","
											南非(South Africa) 西开普产地(Western Cape)","
											南非优质酒庄","
											14.0%","
											750ml","
											黑莓、香草","
											深紫色","
											中高","
											平衡","
											30分钟","
											红肉类食物",  ,5189070
630,"
								【名庄】拉图嘉利城堡干红葡萄酒2015",Chateau La Tour Carnet 2015,"
												100%
										",0,近期售出数 138,338,"
											红葡萄酒 干红","
											70％梅洛和30％赤霞珠",  ,"
											法国(France) 波尔多(Bordeaux)","
											四级庄",  ,"
											750ML","
											樱桃、蓝莓和少许香料，蘑菇的香味","
											深红色","
											中","
											平衡",  ,  ,  ,6234950
631,"
								劳伦米格尔父子系列霞多丽维欧尼干白葡萄酒",Laurent Miquel Pere et Fils Chardonnay Viognier,"
												100%
										",21,近期售出数 5385,139,"
											白葡萄酒 干白","
											65%霞多丽(Chardonnay)、35%维欧尼(Viognier)","
											2013","
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											IGP","
											13%","
											750ml","
											果香、坚果","
											柠檬黄","
											中","
											清爽","
											即开即饮","
											作为开胃酒或搭配鱼肉和白色肉类。","
											NV",6203488
